CRM ID,SBU,Qtr of closure,Deal Status,Account Name,Opportunity Name,Expected TCV ($Mn),Deal Size bucket,Type of Business,Primary L1,Primary L2,Secondary L1,Secondary L2,Tertiary L1,Tertiary L2,Detailed Remarks,Bid Qualification (BQ)  Score,Winnability/ BQ  Feedback,SBU Head Involved,SL Heads Involved,Were we the lowest price? Y/N,Bid Timeline,Bid-Team size,Deal Scope,DD,EA,Client Partner/ Opp. Owner,BM
CRM300023,ASV,Q2'24,Won,Etihad,Opportunity 23,15.62,<250M,NN,Commercials,Cost & Rate benchmarks not available/non-standardised across org,Commercials,Optimized partner Rate cards,Strategic_Initiatives,Strong Outcome-based Deal Strategy,Won due to strong commercials and compelling commercials story. TCV $14.92 validated.,,,,,Y,Q3'25,0,,,,,
CRM300024,Europe,Q2'25,Aborted,HSBC,Opportunity 24,32.03,<250M,EN,Strategic_Initiatives,Strong Outcome-based Deal Strategy,Strategic_Initiatives,Customer GTM Growth,Commercials,Optimized partner Rate cards,Aborted due to qualification issues or lack of alignment in optimized partner rate cards.,,,,,N,Q3'25,0,,,,,
CRM300025,IMEA,Q1'24,Aborted,Etihad,Opportunity 25,9.36,<250M,EE,Strategic_Initiatives,Customer GTM Growth,Commercials,Cost & Rate benchmarks not available/non-standardised across org,Capability_or_Credentials,Analyst Quadrant/ Brand Perception,Aborted due to qualification issues or lack of alignment in analyst quadrant/ brand perception.,,,,,Y,Q4'25,0,,,,,
CRM300026,IMEA,Q2'24,Won,Etihad,Opportunity 26,69.04,<250M,EE,Relationship,Customer Bias,Relationship,Quality 360° Deal Intelligence/Validation (incl win price),Relationship,Analyst/ TPA Relations,Won due to strong relationship and compelling relationship story. TCV $57.29 validated.,,,,,N,Q1'25,0,,,,,
CRM300027,APJ,Q1'24,Aborted,MOHRE,Opportunity 27,12.47,<250M,EN,Strategic_Initiatives,Strong Outcome-based Deal Strategy,Strategic_Initiatives,Mahindra Group leverage,Solution,Orals Performance,Aborted due to qualification issues or lack of alignment in orals performance.,,,,,N,Q2'25,0,,,,,
CRM300028,IMEA,Q2'24,Aborted,Etihad,Opportunity 28,31.55,<250M,NN,Commercials,Deviation/fit to win price,Commercials,Cost & Rate benchmarks not available/non-standardised across org,Strategic_Initiatives,Customer GTM Growth,Aborted due to qualification issues or lack of alignment in customer gtm growth.,,,,,N,Q1'25,0,,,,,
CRM300029,APJ,Q1'25,Aborted,Cummins,Opportunity 29,18.29,<250M,EN,Capability_or_Credentials,Delivery Readiness (incl local presence),Strategic_Initiatives,Strong Outcome-based Deal Strategy,Strategic_Initiatives,Mahindra Group leverage,Aborted due to qualification issues or lack of alignment in mahindra group leverage.,,,,,Y,Q3'25,0,,,,,
CRM300030,Europe,Q1'25,Won,Cadent,Opportunity 30,66.44,<250M,EE,Commercials,Optimized partner Rate cards,Commercials,Deviation/fit to win price,Strategic_Initiatives,Strong Outcome-based Deal Strategy,Won due to strong commercials and compelling commercials story. TCV $23.17 validated.,,,,,Y,Q3'25,0,,,,,
CRM300031,ASV,Q1'25,Lost,MOHRE,Opportunity 31,93.55,<250M,EN,Solution,"Technical Response Quality (coherent, competitive, consultative, competitive)",Commercials,Strong Business case/ Savings,Capability_or_Credentials,Local Presence,"Lost due to gaps in technical response quality (coherent, competitive, consultative, competitive) and competitive pressure on strong business case/ savings.",,,,,Y,Q1'25,0,,,,,
CRM300032,Europe,Q3'25,Aborted,Etihad,Opportunity 32,61.76,<250M,EN,Relationship,Quality of RFP/ Proactive Deal sourcing,Commercials,Incumbency advantage/discounting,Strategic_Initiatives,Strong Outcome-based Deal Strategy,Aborted due to qualification issues or lack of alignment in strong outcome-based deal strategy.,,,,,N,Q3'25,0,,,,,
CRM300033,Europe,Q1'25,Lost,Etihad,Opportunity 33,51.85,<250M,NN,Capability_or_Credentials,"References (Scale, Domain, Usecase) & Case Studies",Capability_or_Credentials,Delivery Readiness (incl local presence),Commercials,Deviation/fit to win price,"Lost due to gaps in references (scale, domain, usecase) & case studies and competitive pressure on delivery readiness (incl local presence).",,,,,Y,Q3'25,0,,,,,
CRM300034,Europe,Q1'25,Aborted,GSK,Opportunity 34,90.02,<250M,NN,Strategic_Initiatives,Customer GTM Growth,Capability_or_Credentials,Delivery Readiness (incl local presence),Solution,PoV/ Thought Leadership,Aborted due to qualification issues or lack of alignment in pov/ thought leadership.,,,,,N,Q3'25,0,,,,,
CRM300035,ASV,Q2'24,Aborted,HSBC,Opportunity 35,26.82,<250M,EE,Capability_or_Credentials,Analyst Quadrant/ Brand Perception,Capability_or_Credentials,Analyst Quadrant/ Brand Perception,Relationship,Customer Bias,Aborted due to qualification issues or lack of alignment in customer bias.,,,,,N,Q3'25,0,,,,,
CRM300036,Europe,Q2'25,Aborted,Etihad,Opportunity 36,42.45,<250M,NN,Relationship,Alliances/ Partners fit,Commercials,"Loading/Input parameters as per guidelines (productivity, HTR, Premium/niche, offshore)",Strategic_Initiatives,Customer GTM Growth,Aborted due to qualification issues or lack of alignment in customer gtm growth.,,,,,N,Q2'25,0,,,,,
CRM300037,ASV,Q4'24,Won,Etihad,Opportunity 37,12.79,<250M,NN,Commercials,"Commercial parameters as per guidelines (contingency, bought out)",Strategic_Initiatives,Mahindra Group leverage,Strategic_Initiatives,Mahindra Group leverage,Won due to strong commercials and compelling strategic_initiatives story. TCV $73.63 validated.,,,,,N,Q3'25,0,,,,,
CRM300038,APJ,Q1'25,Won,Cadent,Opportunity 38,22.78,<250M,EN,Solution,Cookie cutter solutions for commoditised services vis-à-vis peers,Relationship,Alliances/ Partners fit,Commercials,Effort estimation methodology,Won due to strong solution and compelling relationship story. TCV $75.31 validated.,,,,,Y,Q3'25,0,,,,,
CRM300039,APJ,Q4'24,Aborted,HSBC,Opportunity 39,65.42,<250M,EN,Capability_or_Credentials,Domain/ Functional Expertise / Industry trends,Solution,"Process issues (Bid management, reviews, timeline available)",Strategic_Initiatives,Customer GTM Growth,Aborted due to qualification issues or lack of alignment in customer gtm growth.,,,,,N,Q4'25,0,,,,,
CRM300040,Europe,Q4'24,Aborted,GSK,Opportunity 40,37.52,<250M,EN,Relationship,Quality 360° Deal Intelligence/Validation (incl win price),Capability_or_Credentials,Language/  Regional/ Gender Diversity,Strategic_Initiatives,Mahindra Group leverage,Aborted due to qualification issues or lack of alignment in mahindra group leverage.,,,,,N,Q2'25,0,,,,,
CRM300041,IMEA,Q2'24,Won,Cadent,Opportunity 41,67.2,<250M,NN,Strategic_Initiatives,Customer GTM Growth,Relationship,"Competition and Incumbency (strategic, CSAT, delivery track record)",Solution,"Technical Response Quality (coherent, competitive, consultative, competitive)",Won due to strong strategic_initiatives and compelling relationship story. TCV $33.31 validated.,,,,,Y,Q4'25,0,,,,,
CRM300042,APJ,Q4'24,Lost,Cadent,Opportunity 42,25.35,<250M,EN,Relationship,Deal Coach availability/ fit,Relationship,Quality 360° Deal Intelligence/Validation (incl win price),Relationship,Deal Coach availability/ fit,Lost due to gaps in deal coach availability/ fit and competitive pressure on quality 360° deal intelligence/validation (incl win price).,,,,,Y,Q3'25,0,,,,,
CRM300043,ASV,Q3'25,Lost,HSBC,Opportunity 43,56.44,<250M,NN,Capability_or_Credentials,Delivery Readiness (incl local presence),Capability_or_Credentials,Domain/ Functional Expertise / Industry trends,Strategic_Initiatives,Customer GTM Growth,Lost due to gaps in delivery readiness (incl local presence) and competitive pressure on domain/ functional expertise / industry trends.,,,,,Y,Q3'25,0,,,,,
CRM300044,IMEA,Q1'24,Lost,MOHRE,Opportunity 44,64.09,<250M,NN,Commercials,Incumbency advantage/discounting,Solution,PoV/ Thought Leadership,Strategic_Initiatives,Customer GTM Growth,Lost due to gaps in incumbency advantage/discounting and competitive pressure on pov/ thought leadership.,,,,,Y,Q2'25,0,,,,,
CRM300045,IMEA,Q1'25,Won,Etihad,Opportunity 45,95.86,<250M,NN,Capability_or_Credentials,Domain/ Functional Expertise / Industry trends,Commercials,Pricing model innovation/ Commercial Structure,Solution,PoV/ Thought Leadership,Won due to strong capability_or_credentials and compelling commercials story. TCV $32.27 validated.,,,,,Y,Q3'25,0,,,,,
CRM300046,Europe,Q4'24,Lost,Etihad,Opportunity 46,65.66,<250M,EE,Commercials,Optimized partner Rate cards,Strategic_Initiatives,Mahindra Group leverage,Solution,"Technical Response Quality (coherent, competitive, consultative, competitive)",Lost due to gaps in optimized partner rate cards and competitive pressure on mahindra group leverage.,,,,,N,Q4'25,0,,,,,
CRM300047,APJ,Q1'24,Aborted,MOHRE,Opportunity 47,31.8,<250M,NN,Strategic_Initiatives,Customer GTM Growth,Solution,"Process issues (Bid management, reviews, timeline available)",Strategic_Initiatives,Strong Outcome-based Deal Strategy,Aborted due to qualification issues or lack of alignment in strong outcome-based deal strategy.,,,,,Y,Q1'25,0,,,,,
CRM300048,APJ,Q4'24,Won,Etihad,Opportunity 48,67.11,<250M,NN,Strategic_Initiatives,Customer GTM Growth,Solution,PoV/ Thought Leadership,Strategic_Initiatives,Mahindra Group leverage,Won due to strong strategic_initiatives and compelling solution story. TCV $61.25 validated.,,,,,N,Q3'25,0,,,,,
CRM300049,IMEA,Q4'24,Lost,MOHRE,Opportunity 49,90.56,<250M,EE,Commercials,Strong Business case/ Savings,Relationship,Customer Bias,Commercials,Incumbency advantage/discounting,Lost due to gaps in strong business case/ savings and competitive pressure on customer bias.,,,,,N,Q1'25,0,,,,,
CRM300050,APJ,Q1'24,Won,GSK,Opportunity 50,82.64,<250M,NN,Commercials,Strong Business case/ Savings,Solution,PoV/ Thought Leadership,Strategic_Initiatives,Mahindra Group leverage,Won due to strong commercials and compelling solution story. TCV $64.61 validated.,,,,,N,Q3'25,0,,,,,
CRM300051,APJ,Q1'25,Lost,Cummins,Opportunity 51,80.94,<250M,EE,Solution,"Process issues (Bid management, reviews, timeline available)",Strategic_Initiatives,Customer GTM Growth,Strategic_Initiatives,Mahindra Group leverage,"Lost due to gaps in process issues (bid management, reviews, timeline available) and competitive pressure on customer gtm growth.",,,,,N,Q4'25,0,,,,,
CRM300052,Europe,Q3'25,Aborted,MOHRE,Opportunity 52,87.96,<250M,EN,Capability_or_Credentials,Language/  Regional/ Gender Diversity,Commercials,Pricing model innovation/ Commercial Structure,Solution,Demo/ Show & Tell/ Video,Aborted due to qualification issues or lack of alignment in demo/ show & tell/ video.,,,,,Y,Q4'25,0,,,,,
CRM300053,IMEA,Q4'24,Lost,GSK,Opportunity 53,88.11,<250M,NN,Solution,"Process issues (Bid management, reviews, timeline available)",Relationship,Customer Bias,Relationship,Customer Bias,"Lost due to gaps in process issues (bid management, reviews, timeline available) and competitive pressure on customer bias.",,,,,N,Q1'25,0,,,,,
CRM300054,APJ,Q2'25,Won,MOHRE,Opportunity 54,61.96,<250M,EN,Relationship,Alliances/ Partners fit,Relationship,Quality of RFP/ Proactive Deal sourcing,Relationship,"Competition and Incumbency (strategic, CSAT, delivery track record)",Won due to strong relationship and compelling relationship story. TCV $67.47 validated.,,,,,N,Q4'25,0,,,,,
CRM300055,IMEA,Q1'24,Aborted,HSBC,Opportunity 55,71.06,<250M,EE,Relationship,Analyst/ TPA Relations,Relationship,Alliances/ Partners fit,Commercials,Optimized partner Rate cards,Aborted due to qualification issues or lack of alignment in optimized partner rate cards.,,,,,N,Q3'25,0,,,,,
CRM300056,IMEA,Q1'25,Won,MOHRE,Opportunity 56,86.53,<250M,EN,Capability_or_Credentials,Language/  Regional/ Gender Diversity,Capability_or_Credentials,Analyst Quadrant/ Brand Perception,Strategic_Initiatives,Strong Outcome-based Deal Strategy,Won due to strong capability_or_credentials and compelling capability_or_credentials story. TCV $44.11 validated.,,,,,Y,Q4'25,0,,,,,
CRM300057,IMEA,Q4'24,Aborted,Cadent,Opportunity 57,43.56,<250M,NN,Relationship,Analyst/ TPA Relations,Solution,Availability of SMEs,Strategic_Initiatives,Customer GTM Growth,Aborted due to qualification issues or lack of alignment in customer gtm growth.,,,,,N,Q2'25,0,,,,,
CRM300058,ASV,Q4'24,Aborted,MOHRE,Opportunity 58,59.67,<250M,EN,Capability_or_Credentials,Analyst Quadrant/ Brand Perception,Solution,Cookie cutter solutions for commoditised services vis-à-vis peers,Strategic_Initiatives,Mahindra Group leverage,Aborted due to qualification issues or lack of alignment in mahindra group leverage.,,,,,N,Q2'25,0,,,,,
CRM300059,APJ,Q3'25,Won,HSBC,Opportunity 59,88.03,<250M,EN,Commercials,Cost & Rate benchmarks not available/non-standardised across org,Relationship,Quality of RFP/ Proactive Deal sourcing,Relationship,Alliances/ Partners fit,Won due to strong commercials and compelling relationship story. TCV $6.17 validated.,,,,,N,Q2'25,0,,,,,
CRM300060,APJ,Q1'24,Lost,Etihad,Opportunity 60,72.49,<250M,EN,Strategic_Initiatives,Strong Outcome-based Deal Strategy,Strategic_Initiatives,Strong Outcome-based Deal Strategy,Relationship,Customer Bias,Lost due to gaps in strong outcome-based deal strategy and competitive pressure on strong outcome-based deal strategy.,,,,,N,Q4'25,0,,,,,
CRM300061,APJ,Q2'25,Won,MOHRE,Opportunity 61,64.69,<250M,EN,Strategic_Initiatives,Strong Outcome-based Deal Strategy,Relationship,"Client Relationship (CXOs, decision makers, influencers)",Solution,Business value proposition,Won due to strong strategic_initiatives and compelling relationship story. TCV $21.01 validated.,,,,,N,Q3'25,0,,,,,
CRM300062,IMEA,Q1'25,Aborted,Cummins,Opportunity 62,14.67,<250M,NN,Solution,Orals Performance,Capability_or_Credentials,Local Presence,Solution,Demo/ Show & Tell/ Video,Aborted due to qualification issues or lack of alignment in demo/ show & tell/ video.,,,,,Y,Q2'25,0,,,,,
CRM300063,Europe,Q3'25,Lost,HSBC,Opportunity 63,65.89,<250M,NN,Strategic_Initiatives,Customer GTM Growth,Strategic_Initiatives,Strong Outcome-based Deal Strategy,Relationship,Customer Bias,Lost due to gaps in customer gtm growth and competitive pressure on strong outcome-based deal strategy.,,,,,N,Q4'25,0,,,,,
CRM300064,ASV,Q3'25,Lost,HSBC,Opportunity 64,13.2,<250M,EN,Relationship,Quality of RFP/ Proactive Deal sourcing,Relationship,Alliances/ Partners fit,Relationship,Quality of RFP/ Proactive Deal sourcing,Lost due to gaps in quality of rfp/ proactive deal sourcing and competitive pressure on alliances/ partners fit.,,,,,Y,Q4'25,0,,,,,
CRM300065,Europe,Q1'24,Lost,HSBC,Opportunity 65,12.16,<250M,EE,Relationship,Customer Bias,Commercials,"Loading/Input parameters as per guidelines (productivity, HTR, Premium/niche, offshore)",Capability_or_Credentials,"References (Scale, Domain, Usecase) & Case Studies","Lost due to gaps in customer bias and competitive pressure on loading/input parameters as per guidelines (productivity, htr, premium/niche, offshore).",,,,,N,Q2'25,0,,,,,
CRM300066,APJ,Q3'25,Lost,Etihad,Opportunity 66,42.86,<250M,EE,Commercials,Strong Business case/ Savings,Capability_or_Credentials,"References (Scale, Domain, Usecase) & Case Studies",Solution,Availability of SMEs,"Lost due to gaps in strong business case/ savings and competitive pressure on references (scale, domain, usecase) & case studies.",,,,,Y,Q4'25,0,,,,,
CRM300067,Europe,Q3'25,Aborted,HSBC,Opportunity 67,16.1,<250M,EE,Solution,Orals Performance,Solution,PoV/ Thought Leadership,Commercials,Effort estimation methodology,Aborted due to qualification issues or lack of alignment in effort estimation methodology.,,,,,N,Q1'25,0,,,,,
CRM300068,IMEA,Q1'24,Won,GSK,Opportunity 68,13.17,<250M,EE,Strategic_Initiatives,Customer GTM Growth,Strategic_Initiatives,Strong Outcome-based Deal Strategy,Relationship,Analyst/ TPA Relations,Won due to strong strategic_initiatives and compelling strategic_initiatives story. TCV $46.62 validated.,,,,,Y,Q2'25,0,,,,,
CRM300069,ASV,Q4'24,Lost,MOHRE,Opportunity 69,15.6,<250M,NN,Commercials,Strong Business case/ Savings,Strategic_Initiatives,Strong Outcome-based Deal Strategy,Strategic_Initiatives,Strong Outcome-based Deal Strategy,Lost due to gaps in strong business case/ savings and competitive pressure on strong outcome-based deal strategy.,,,,,Y,Q1'25,0,,,,,
CRM300070,Europe,Q1'24,Lost,HSBC,Opportunity 70,38.96,<250M,EN,Relationship,Deal Coach availability/ fit,Strategic_Initiatives,Strong Outcome-based Deal Strategy,Relationship,"Competition and Incumbency (strategic, CSAT, delivery track record)",Lost due to gaps in deal coach availability/ fit and competitive pressure on strong outcome-based deal strategy.,,,,,Y,Q4'25,0,,,,,
CRM300071,IMEA,Q4'24,Won,MOHRE,Opportunity 71,73.21,<250M,EE,Solution,Availability of SMEs,Capability_or_Credentials,Domain/ Functional Expertise / Industry trends,Relationship,Customer Bias,Won due to strong solution and compelling capability_or_credentials story. TCV $50.2 validated.,,,,,Y,Q4'25,0,,,,,
CRM300072,Europe,Q2'24,Won,GSK,Opportunity 72,6.45,<250M,EE,Strategic_Initiatives,Mahindra Group leverage,Strategic_Initiatives,Mahindra Group leverage,Relationship,Quality 360° Deal Intelligence/Validation (incl win price),Won due to strong strategic_initiatives and compelling strategic_initiatives story. TCV $88.0 validated.,,,,,N,Q4'25,0,,,,,
CRM300073,Europe,Q1'25,Lost,GSK,Opportunity 73,6.58,<250M,EE,Capability_or_Credentials,Language/  Regional/ Gender Diversity,Relationship,Customer Bias,Commercials,Pricing model innovation/ Commercial Structure,Lost due to gaps in language/  regional/ gender diversity and competitive pressure on customer bias.,,,,,Y,Q2'25,0,,,,,
CRM300074,APJ,Q4'24,Lost,HSBC,Opportunity 74,25.45,<250M,NN,Capability_or_Credentials,Analyst Quadrant/ Brand Perception,Capability_or_Credentials,Language/  Regional/ Gender Diversity,Capability_or_Credentials,Delivery Readiness (incl local presence),Lost due to gaps in analyst quadrant/ brand perception and competitive pressure on language/  regional/ gender diversity.,,,,,Y,Q4'25,0,,,,,
CRM300075,APJ,Q3'25,Lost,GSK,Opportunity 75,76.47,<250M,EN,Capability_or_Credentials,"References (Scale, Domain, Usecase) & Case Studies",Capability_or_Credentials,Language/  Regional/ Gender Diversity,Capability_or_Credentials,Delivery Readiness (incl local presence),"Lost due to gaps in references (scale, domain, usecase) & case studies and competitive pressure on language/  regional/ gender diversity.",,,,,N,Q3'25,0,,,,,
CRM300076,APJ,Q3'25,Lost,Etihad,Opportunity 76,48.59,<250M,EE,Commercials,"Commercial parameters as per guidelines (contingency, bought out)",Capability_or_Credentials,Analyst Quadrant/ Brand Perception,Strategic_Initiatives,Mahindra Group leverage,"Lost due to gaps in commercial parameters as per guidelines (contingency, bought out) and competitive pressure on analyst quadrant/ brand perception.",,,,,Y,Q4'25,0,,,,,
CRM300077,Europe,Q2'25,Aborted,GSK,Opportunity 77,89.72,<250M,EE,Relationship,"Competition and Incumbency (strategic, CSAT, delivery track record)",Commercials,Optimized partner Rate cards,Solution,Availability of SMEs,Aborted due to qualification issues or lack of alignment in availability of smes.,,,,,Y,Q1'25,0,,,,,
CRM300078,APJ,Q1'24,Lost,Cummins,Opportunity 78,14.11,<250M,EN,Relationship,Quality 360° Deal Intelligence/Validation (incl win price),Strategic_Initiatives,Customer GTM Growth,Commercials,Pricing model innovation/ Commercial Structure,Lost due to gaps in quality 360° deal intelligence/validation (incl win price) and competitive pressure on customer gtm growth.,,,,,N,Q3'25,0,,,,,
CRM300079,ASV,Q1'25,Lost,MOHRE,Opportunity 79,42.98,<250M,NN,Solution,Orals Performance,Relationship,Alliances/ Partners fit,Solution,PoV/ Thought Leadership,Lost due to gaps in orals performance and competitive pressure on alliances/ partners fit.,,,,,N,Q1'25,0,,,,,
CRM300080,ASV,Q4'24,Lost,Cummins,Opportunity 80,37.67,<250M,NN,Relationship,"Competition and Incumbency (strategic, CSAT, delivery track record)",Commercials,Optimized partner Rate cards,Solution,Business value proposition,"Lost due to gaps in competition and incumbency (strategic, csat, delivery track record) and competitive pressure on optimized partner rate cards.",,,,,N,Q1'25,0,,,,,
